#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.base.inference.CompoundDistribution">
#    <distribution id="prior" spec="beast.base.inference.CompoundDistribution">
#        <distribution id="YuleModel.t:cytob_alignment" spec="beast.base.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:cytob_alignment" lower="0.0" name="birthDiffRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:cytob_alignment" spec="beast.base.evolution.tree.Tree">
#                <taxonset id="TaxonSet.cytob_alignment" spec="beast.base.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:cytob_alignment" name="distribution" x="@birthRate.t:cytob_alignment">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.base.inference.CompoundDistribution" useThreads="true">
#        <distribution data="@cytob_alignment" id="treeLikelihood.cytob_alignment" spec="beast.base.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:cytob_alignment">
#            <siteModel id="SiteModel.s:cytob_alignment" spec="beast.base.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:cytob_alignment" lower="0.0" name="mutationRate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:cytob_alignment" lower="0.1" name="shape" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:cytob_alignment" lower="0.0" name="proportionInvariant" spec="beast.base.inference.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:cytob_alignment" spec="beast.base.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:cytob_alignment" spec="beast.base.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:cytob_alignment" lower="0.0" name="clock.rate" spec="beast.base.inference.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	Tree.height	Tree.treeLength	YuleModel	birthRate
28000	-3117.9434319985144	-3140.9846206970883	23.041188698573894	-3140.9846206970883	0.04186773446450164	0.2477719186148022	23.041188698573894	27.85185646097587
29000	-3116.561896722198	-3139.5822115807428	23.020314858544676	-3139.5822115807428	0.0434751179782258	0.24295713326206675	23.020314858544676	50.624846559731395
30000	-3116.4188733517713	-3140.6851480311598	24.26627467938871	-3140.6851480311598	0.03733337453843354	0.22302618949812306	24.26627467938871	42.55690979421788
31000	-3121.230554187885	-3145.285168852794	24.05461466490884	-3145.285168852794	0.03684699827343228	0.22752676167942856	24.05461466490884	35.739445940727734
32000	-3115.4019713956495	-3139.8024145336635	24.400443138014097	-3139.8024145336635	0.03780928292685079	0.21989620218088402	24.400443138014097	42.43793855388908
33000	-3123.0118398327054	-3146.170132147642	23.15829231493654	-3146.170132147642	0.04852832113731701	0.2516973814846976	23.15829231493654	32.80484236814484
34000	-3121.713244075871	-3145.43208364786	23.718839571989236	-3145.43208364786	0.042871472572040936	0.2352672069526718	23.718839571989236	43.56608912700946
35000	-3116.1321401419027	-3138.5161159789436	22.383975837040797	-3138.5161159789436	0.043251807295222426	0.2430425561965889	22.383975837040797	58.71541837239578
36000	-3113.679607406773	-3137.46784562318	23.78823821640686	-3137.46784562318	0.041741527736012606	0.23511671476772233	23.78823821640686	36.052340940009074
37000	-3119.237269508107	-3143.2199937062596	23.982724198152383	-3143.2199937062596	0.04141237026411724	0.22024418851901653	23.982724198152383	54.4595577001146
38000	-3116.546738725188	-3139.6676085089484	23.120869783760646	-3139.6676085089484	0.042266780302768786	0.24308689022526103	23.120869783760646	27.24433464319014
39000	-3116.3288194447173	-3140.046788759563	23.717969314845483	-3140.046788759563	0.03833188576115132	0.2361629094426773	23.717969314845483	42.10008325648281
40000	-3117.743369152821	-3140.949769525404	23.206400372583243	-3140.949769525404	0.04510241226335818	0.24896997700321405	23.206400372583243	41.2645358612513
41000	-3118.037274976535	-3139.7412582584902	21.703983281954883	-3139.7412582584902	0.04920178104677243	0.27507096608281556	21.703983281954883	47.22619609032624
42000	-3118.7798272418186	-3143.1373535118505	24.35752627003193	-3143.1373535118505	0.033084397917967426	0.21912135043047246	24.35752627003193	46.820232797151824
43000	-3117.7202315976874	-3141.4824756207427	23.76224402305519	-3141.4824756207427	0.037873893786668625	0.21987560213363355	23.76224402305519	27.3261558064869
44000	-3117.5076133882726	-3140.5453014298337	23.037688041560976	-3140.5453014298337	0.04841828397912696	0.24822369558404736	23.037688041560976	46.0340880381221
45000	-3115.7946422008276	-3137.7012401567613	21.906597955933847	-3137.7012401567613	0.039899262222552426	0.22182804922605584	21.906597955933847	78.01121301342093
46000	-3119.9800377731876	-3142.966014717252	22.985976944064333	-3142.966014717252	0.046657348628142144	0.25620270566526804	22.985976944064333	38.76438291736414
47000	-3117.653636444225	-3140.981681325295	23.328044881070095	-3140.981681325295	0.04224090197303798	0.24528209358579015	23.328044881070095	31.613808226542407
48000	-3113.5325345190668	-3137.6578408737855	24.12530635471856	-3137.6578408737855	0.03983890790190543	0.22686732309443164	24.12530635471856	39.951344795438764
49000	-3119.6546091840587	-3143.4249612147837	23.770352030724816	-3143.4249612147837	0.034843394184543824	0.23159799305840395	23.770352030724816	46.896502520492014
50000	-3120.398214720047	-3143.9238623088877	23.5256475888409	-3143.9238623088877	0.03495779874483222	0.22688620673157403	23.5256475888409	55.952953957804034
51000	-3124.084840335304	-3147.254989248579	23.17014891327501	-3147.254989248579	0.039003969823904625	0.2516774482801817	23.17014891327501	38.279182976352196
52000	-3122.2365427550526	-3143.61357584881	21.37703309375712	-3143.61357584881	0.041642855869622214	0.2620693273973489	21.37703309375712	57.68945355828968
53000	-3124.466978908217	-3146.7863170587975	22.319338150580634	-3146.7863170587975	0.03661301819497851	0.2373761559521162	22.319338150580634	20.508560237277585
54000	-3118.4788195295137	-3141.168869777434	22.690050247920393	-3141.168869777434	0.04155325066282124	0.22969612612226445	22.690050247920393	21.585285538626987
55000	-3120.635506787466	-3143.1336661986848	22.49815941121874	-3143.1336661986848	0.047910819914441974	0.2640837010154602	22.49815941121874	42.9458822015755
56000	-3116.2126838473773	-3139.5817716016804	23.36908775430294	-3139.5817716016804	0.0378142705389239	0.2400622738600068	23.36908775430294	29.369292380826536
57000	-3115.6425227364152	-3138.73064259301	23.088119856594652	-3138.73064259301	0.03910752531057331	0.2338049047092868	23.088119856594652	56.63478479846932
58000	-3122.410060785933	-3146.5728293405705	24.16276855463719	-3146.5728293405705	0.040430717966205135	0.22573484093868942	24.16276855463719	38.23274908049224
59000	-3117.331302938194	-3140.887181340129	23.555878401935058	-3140.887181340129	0.039219912958391424	0.24150315729359725	23.555878401935058	38.75551255376496
60000	-3123.285689295391	-3146.943642098347	23.657952802956252	-3146.943642098347	0.036545066833653814	0.23410450109166903	23.657952802956252	31.167900205044134
61000	-3120.714431077329	-3144.2959310330866	23.581499955757575	-3144.2959310330866	0.03795161767377189	0.2404251733858509	23.581499955757575	34.897540253822676
62000	-3119.1971037244925	-3142.8914950201133	23.694391295620783	-3142.8914950201133	0.042362176814547944	0.23450415748704576	23.694391295620783	45.36487659792425
63000	-3115.664247411062	-3139.251221149089	23.586973738026767	-3139.251221149089	0.03582738691457061	0.21808524313355246	23.586973738026767	25.50030676517634
64000	-3117.898615428623	-3140.1656137439127	22.26699831528946	-3140.1656137439127	0.04420449554243859	0.24408987407621033	22.26699831528946	59.32118012017084
65000	-3118.088342633479	-3141.535576263517	23.447233630038053	-3141.535576263517	0.04243644362972662	0.24296214499027097	23.447233630038053	32.881555102130626
66000	-3117.9463763057593	-3141.8235629043947	23.877186598635607	-3141.8235629043947	0.04027866413922722	0.22655475873724443	23.877186598635607	50.070317654937845
67000	-3118.918729406271	-3140.6618324313704	21.743103025099657	-3140.6618324313704	0.04626259078567859	0.2580170672717959	21.743103025099657	56.369072877762804
68000	-3118.6056792417908	-3141.769286467137	23.163607225346404	-3141.769286467137	0.04562520235890355	0.25023762512780245	23.163607225346404	31.39444188317459
69000	-3117.889166325104	-3140.2268114670446	22.337645141940868	-3140.2268114670446	0.0401153137711395	0.2567987569768532	22.337645141940868	50.39511730588676
70000	-3118.9853753541206	-3142.3020110128846	23.316635658763794	-3142.3020110128846	0.04088153094930664	0.24656386470445624	23.316635658763794	32.46070521470975
71000	-3120.6102612002555	-3143.48279294356	22.872531743304606	-3143.48279294356	0.04503469796472143	0.2571105578885128	22.872531743304606	41.21182518028217
72000	-3118.516817676132	-3142.2619344236628	23.745116747530567	-3142.2619344236628	0.041823864844501235	0.22582761908629756	23.745116747530567	53.32978180121721
73000	-3123.8045404973177	-3149.2432154833023	25.438674985984655	-3149.2432154833023	0.031336719767904066	0.1895961702690826	25.438674985984655	60.85250459814303
74000	-3119.7362582146134	-3142.0292322100913	22.29297399547781	-3142.0292322100913	0.04075575151551247	0.24852561823496105	22.29297399547781	56.201550840881794
75000	-3118.37787268607	-3140.82151127399	22.443638587919793	-3140.82151127399	0.04146520202505055	0.24754199961751494	22.443638587919793	55.089840286907545
76000	-3121.568587241412	-3143.0296097962164	21.461022554804252	-3143.0296097962164	0.042614394365925484	0.244486081208584	21.461022554804252	17.42514304580658
77000	-3121.503850416727	-3145.053664041118	23.549813624390822	-3145.053664041118	0.04132234459807622	0.24179381211041726	23.549813624390822	38.05786469513703
78000	-3119.4183521348937	-3142.1313125227935	22.71296038789985	-3142.1313125227935	0.039204238215871795	0.21754439159378416	22.71296038789985	73.21637226532248
79000	-3116.2963420697024	-3139.5413671904034	23.245025120700898	-3139.5413671904034	0.04633837770705065	0.24859261062722687	23.245025120700898	32.26560109431374
80000	-3121.26041518956	-3145.012888897034	23.752473707473946	-3145.012888897034	0.039746886122081014	0.22115879867272842	23.752473707473946	57.45291989717812
81000	-3117.529549688705	-3139.3980633126494	21.86851362394417	-3139.3980633126494	0.03778449512028184	0.24449245144352363	21.86851362394417	63.163763156154715
82000	-3117.6951404553893	-3141.694850238709	23.999709783319556	-3141.694850238709	0.042735385733766056	0.22826972954548005	23.999709783319556	44.5645781262464
83000	-3123.5451668432397	-3146.75047856132	23.205311718080402	-3146.75047856132	0.04422127260017476	0.23235395871616943	23.205311718080402	25.353881020834173
84000	-3121.035793900056	-3142.965770037088	21.929976137031876	-3142.965770037088	0.04624338505003618	0.23716771089125632	21.929976137031876	18.734063886266707
85000	-3116.936616930116	-3139.2892702796553	22.352653349539075	-3139.2892702796553	0.040810968859432084	0.23812305081850485	22.352653349539075	62.29928909429071
86000	-3116.779164146817	-3141.423675172053	24.644511025236113	-3141.423675172053	0.04191902977764536	0.21337636786683475	24.644511025236113	45.88260467567156
87000	-3117.306277338	-3140.4433058818854	23.137028543885346	-3140.4433058818854	0.045941130310372946	0.24778626093309886	23.137028543885346	29.281142274150948
88000	-3116.201153194955	-3139.1013860475095	22.900232852554595	-3139.1013860475095	0.044360278973078045	0.25525082339265537	22.900232852554595	42.434070830343
89000	-3114.945039621023	-3139.525926534204	24.580886913180777	-3139.525926534204	0.03718963651338584	0.21328164932082577	24.580886913180777	48.818740058380776
90000	-3115.8636103818203	-3140.354757657583	24.49114727576248	-3140.354757657583	0.03919993439115363	0.21709873089618034	24.49114727576248	38.13578920480785
91000	-3119.800063415616	-3143.2975272405774	23.49746382496126	-3143.2975272405774	0.04079821270212865	0.24152955803451087	23.49746382496126	41.900753178725274
92000	-3118.458179350227	-3141.467074374596	23.008895024368837	-3141.467074374596	0.04153443665976436	0.2279516519829848	23.008895024368837	62.02791515919021
93000	-3121.0910240364474	-3145.31596695302	24.224942916572793	-3145.31596695302	0.039706739954844576	0.21783618263261	24.224942916572793	32.064590730773936
94000	-3116.1317509568576	-3139.485745717646	23.353994760788368	-3139.485745717646	0.046395549235689656	0.2471675395517921	23.353994760788368	36.67138086049841
95000	-3119.5238616239253	-3143.1658654603743	23.64200383644888	-3143.1658654603743	0.0392386204618875	0.23480336998259072	23.64200383644888	46.37093782933121
96000	-3117.253284478745	-3140.8554239386103	23.602139459865164	-3140.8554239386103	0.04319695551589256	0.23619206276524835	23.602139459865164	31.346704091248654
97000	-3116.405016428884	-3139.235342896953	22.830326468068932	-3139.235342896953	0.04153021211943938	0.2591496006462722	22.830326468068932	29.856579815990347
98000	-3118.744565688678	-3142.057847140983	23.31328145230528	-3142.057847140983	0.03426453683591684	0.225459033797709	23.31328145230528	24.8515996015962
99000	-3125.0010460045783	-3148.931449970321	23.930403965742858	-3148.931449970321	0.03586957163933173	0.222647567871568	23.930403965742858	53.03596183094075
100000	-3115.4426686996067	-3139.099918789575	23.65725008996849	-3139.099918789575	0.04182808682358181	0.22127145719936595	23.65725008996849	26.72789825017579
101000	-3115.1394456362	-3138.5911182305836	23.451672594383574	-3138.5911182305836	0.04253666708749971	0.2302735949766402	23.451672594383574	54.22531459949829
102000	-3121.418369314943	-3144.9450190416883	23.52664972674529	-3144.9450190416883	0.04336587857657847	0.24133369626330894	23.52664972674529	33.783260501877244
103000	-3117.0368215035674	-3141.8307431211747	24.79392161760739	-3141.8307431211747	0.036846717547438484	0.20667099590301657	24.79392161760739	35.60646928048551
104000	-3119.1419099721124	-3142.427411703986	23.28550173187333	-3142.427411703986	0.04414802083355641	0.23589098138666573	23.28550173187333	52.148439752683196
105000	-3116.2365884962933	-3140.1632149705656	23.926626474272542	-3140.1632149705656	0.03840112044051717	0.22494217541140069	23.926626474272542	50.745013714098285
106000	-3118.993761683598	-3142.332417920964	23.338656237365683	-3142.332417920964	0.04647735151538901	0.24466079683919084	23.338656237365683	42.76221898301962
107000	-3117.387305064941	-3140.6912267003686	23.303921635427614	-3140.6912267003686	0.04432394389562413	0.24802134960128178	23.303921635427614	33.96450061749197
